ID Pemesanan,Status Pesanan,Kode Pesanan Affiliate,Waktu Pemesanan,Waktu Terselesaikan,Waktu Klik,Nama Toko,ID Shop,Tipe toko.,ID Barang,Nama Barange,ID Model,Tipe Produk,ID Promosi,L1 Kategori Global,L2 Kategori Global,L3 Kategori Global,Harga(Rp),Jumlah,Tipe Penawaran,Kampanye Partnerr,Nilai Pembelian(Rp),Jumlah Pengembalian Dana(Rp),Persentase Komisi Shopee pada Produk,Komisi Barang Shopee(Rp),Persentase Komisi XTRA pada Produk,Komisi XTRA Produk(Rp),Total Komisi per Produk(Rp),Komisi Shopee per Pesanan(Rp),Komisi XTRA per Pesanan(Rp),Total Komisi per Pesanan(Rp),Nama MCN Terhubung,ID Kontrak MCN,Persentase Biaya Manajemen MCN,Biaya Manajemen MCN(Rp),Persentase Pembagian Komisi Affiliate,Komisi Bersih Affiliate (Rp),Status Produk Affiliate,Catatan Produk,Tipe Pesanan,Status Pemebelian,Tag_link1,Tag_link2,Tag_link3,Tag_link4,Tag_link5,Platform
260530R72P4XTU,Tertunda,233832240256414,2026-05-30 16:24:01,,2026-05-30 15:06:01,MAJA JAYA,347738511,Preferred(Non-CB),40123556952,Lampu LED LVR 97 T10 2 mode 2 warna 2in1 3014 54titik led - Bisa Sein dan Senja MOTOR (SENJA + SEIN) SUPER TERANG - (sein aerox ,271915421941,Normal Product,,Sepeda Motor,Suku Cadang Motor,Lampu Motor,20000,1,Komisi Shopee,,18000,,1.50%,270,0.00%,0,270,270,0,270,,0,0.00%,0,100.00%,270,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakdapur3,,,,,Instagram
260530R3QFQTG1,Tertunda,233828643201990,2026-05-30 15:24:04,,2026-05-26 16:19:36,Indo Essentials,1296481086,Preferred(Non-CB),26231011303,"Pel Lantai Otomatis 2-in-1 Ember Sekat 360° Dual Bucket Mop Microfiber Anti Tumpah – Alat Pel Lantai Dengan Ember Pemisah Sekat,",253002236671,Normal Product,,Perlengkapan Rumah,Perawatan Rumah,Kain Pel,186300,1,Komisi XTRA,,163944,,1.50%,2459.16,10.00%,16394.4,18853.56,2459.16,16394.4,18853.56,,0,0.00%,0,100.00%,18853.56,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,benihsayuran,,,,,Instagram
260530R2QGFM0K,Tertunda,233827570240649,2026-05-30 15:06:14,,2026-05-26 19:48:22,Hai Apotek,1131690015,Preferred(Non-CB),27114389376,NIACEF 4%  NIACINAMIDE GEL | 15GR | UNTUK PERAWATAN KULIT WAJAH,246799979920,Normal Product,,Perawatan & Kecantikan,Perawatan Wajah,Pelembab Wajah,34650,1,Komisi XTRA,,32918,,1.50%,493.77,0.50%,164.59,658.36,1257.72,419.24,1676.96,,0,0.00%,0,100.00%,1676.96,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakdapur3,,,,,Instagram
260530R2QGFM0K,Tertunda,233827570240649,2026-05-30 15:06:14,,2026-05-26 19:48:22,Hai Apotek,1131690015,Preferred(Non-CB),42624074823,"NIACLEAR & GLYCORE-10 | Paket Bundling Mencerahkan, Menyamarkan Noda dan Merawat Kulit Berjerawat",276955536996,Normal Product,,Perawatan & Kecantikan,Paket & Set Kecantikan,,53612,1,Komisi XTRA,,50930,,1.50%,763.95,0.50%,254.65,1018.6,0,0,0,,0,0.00%,0,100.00%,0,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakdapur3,,,,,Instagram
260530R26GWMBQ,Tertunda,233827000271809,2026-05-30 14:56:47,,2026-05-26 16:53:23,SAMONO Official Shop,440963114,Shopee Mall(Non-CB),26537128676,SAMONO Milk Frother Alat Pembuih Susu Elektrik 3 Kecepatan Mixer Kopi Susu Double Whisk Layer 2 Pengaduk Rechargable Type-C Bate,285241781538,Normal Product,,Elektronik,Perangkat Dapur,Mixer,47899,1,Komisi XTRA,,47899,,0.50%,239.495,1.00%,478.99,718.485,239.495,478.99,718.485,,0,0.00%,0,100.00%,718.485,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakdapur3,,,,,Instagram
260530R1NWNK0U,Tertunda,233826443225464,2026-05-30 14:47:24,,2026-05-25 13:06:20,Leere Official Store,1315417321,Shopee Mall(Non-CB),43908427115,COD Gantungan kunci tas / Gantungan hp / gantungan kunci Aesthetic/ Keychain/ Bag Charm Aesthetic/Gantungan Tas wanita / Gantung,265711086396,Normal Product,0_416275730024354_1,Hobi & Koleksi,Souvenir & Hadiah,Gantungan Kunci,5231.3086,1,Komisi XTRA,,5231.3086,,1.50%,78.46962,4.00%,209.25234,287.72196,450.61497,1201.63997,1652.25494,,0,0.00%,0,100.00%,1652.25494,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakaestetik,FB,nyamiresep,,,Others
260530R1NWNK0U,Tertunda,233826443225464,2026-05-30 14:47:24,,2026-05-25 13:06:20,Leere Official Store,1315417321,Shopee Mall(Non-CB),43908427115,COD Gantungan kunci tas / Gantungan hp / gantungan kunci Aesthetic/ Keychain/ Bag Charm Aesthetic/Gantungan Tas wanita / Gantung,265711086397,Normal Product,0_416275730024354_2,Hobi & Koleksi,Souvenir & Hadiah,Gantungan Kunci,4584.85358,1,Komisi XTRA,,4584.85358,,1.50%,68.7728,4.00%,183.39414,252.16694,0,0,0,,0,0.00%,0,100.00%,0,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakaestetik,FB,nyamiresep,,,Others
260530R1NWNK0U,Tertunda,233826443225464,2026-05-30 14:47:24,,2026-05-25 13:06:20,Leere Official Store,1315417321,Shopee Mall(Non-CB),43908427115,COD Gantungan kunci tas / Gantungan hp / gantungan kunci Aesthetic/ Keychain/ Bag Charm Aesthetic/Gantungan Tas wanita / Gantung,265711086398,Normal Product,0_416275730024354_1,Hobi & Koleksi,Souvenir & Hadiah,Gantungan Kunci,5231.3086,2,Komisi XTRA,,10462.6172,,1.50%,156.93925,4.00%,418.50468,575.44393,0,0,0,,0,0.00%,0,100.00%,0,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakaestetik,FB,nyamiresep,,,Others
260530R1NWNK0U,Tertunda,233826443225464,2026-05-30 14:47:24,,2026-05-25 13:06:20,Leere Official Store,1315417321,Shopee Mall(Non-CB),43908427115,COD Gantungan kunci tas / Gantungan hp / gantungan kunci Aesthetic/ Keychain/ Bag Charm Aesthetic/Gantungan Tas wanita / Gantung,253625105055,Normal Product,0_416275730024354_1,Hobi & Koleksi,Souvenir & Hadiah,Gantungan Kunci,5783.07419,1,Komisi XTRA,,5783.07419,,1.50%,86.74611,4.00%,231.32296,318.06907,0,0,0,,0,0.00%,0,100.00%,0,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakaestetik,FB,nyamiresep,,,Others
260530R1NWNK0U,Tertunda,233826443225464,2026-05-30 14:47:24,,2026-05-25 13:06:20,Leere Official Store,1315417321,Shopee Mall(Non-CB),43908427115,COD Gantungan kunci tas / Gantungan hp / gantungan kunci Aesthetic/ Keychain/ Bag Charm Aesthetic/Gantungan Tas wanita / Gantung,253625105057,Normal Product,0_416275730024354_2,Hobi & Koleksi,Souvenir & Hadiah,Gantungan Kunci,3979.14641,1,Komisi XTRA,,3979.14642,,1.50%,59.68719,4.00%,159.16585,218.85304,0,0,0,,0,0.00%,0,100.00%,0,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakaestetik,FB,nyamiresep,,,Others
