ID Pemesanan,Status Pesanan,Kode Pesanan Affiliate,Waktu Pemesanan,Waktu Terselesaikan,Waktu Klik,Nama Toko,ID Shop,Tipe toko.,ID Barang,Nama Barange,ID Model,Tipe Produk,ID Promosi,L1 Kategori Global,L2 Kategori Global,L3 Kategori Global,Harga(Rp),Jumlah,Tipe Penawaran,Kampanye Partnerr,Nilai Pembelian(Rp),Jumlah Pengembalian Dana(Rp),Persentase Komisi Shopee pada Produk,Komisi Barang Shopee(Rp),Persentase Komisi XTRA pada Produk,Komisi XTRA Produk(Rp),Total Komisi per Produk(Rp),Komisi Shopee per Pesanan(Rp),Komisi XTRA per Pesanan(Rp),Total Komisi per Pesanan(Rp),Nama MCN Terhubung,ID Kontrak MCN,Persentase Biaya Manajemen MCN,Biaya Manajemen MCN(Rp),Persentase Pembagian Komisi Affiliate,Komisi Bersih Affiliate (Rp),Status Produk Affiliate,Catatan Produk,Tipe Pesanan,Status Pemebelian,Tag_link1,Tag_link2,Tag_link3,Tag_link4,Tag_link5,Platform
2606048987UFB6,Belum Dibayar,234284818257971,2026-06-04 22:06:58,,2026-06-04 18:33:48,Babypapaya.id,17893148,Preferred(Non-CB),18552080869,DAHLIA Kamper / Freshener Gantung 80gr,136939397568,Normal Product,,Perlengkapan Rumah,Pengharum Ruangan & Aromaterapi,Pengharum Ruangan,12044,1,Komisi XTRA,,9635,,0.00%,0,0.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Belum Dibayar,Pesanan sedang menunggu pembayaran dari Pembeli.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakpiringpengering,,,,,Others
2606048942AJ9N,Tertunda,234284678249970,2026-06-04 22:04:43,,2026-06-04 03:47:30,VARKVERK SHOP,1557813189,Preferred(Non-CB),24945454620,VarkVerk-Anti SPY 360 Derajat Untuk Kaca Anti Gores For iPhone X Xs Max XR 11 12 13 14 15 16 17 Plus Pro ProMax Tempered Glass i,265405488381,Normal Product,,Handphone & Aksesoris,Aksesoris,Pelindung Layar Handphone,45900,1,Komisi XTRA,,39900,,0.50%,199.5,3.00%,1197,1396.5,199.5,1197,1396.5,,0,0.00%,0,100.00%,1396.5,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakpiringpengering,,,,,Instagram
26060488G0GSPD,Tertunda,234284005266870,2026-06-04 21:53:25,,2026-06-04 19:14:54,My Warming Home,1017196421,Preferred(Non-CB),21487375005,Kotak Penyimpanan Kuas Kosmetik /Wadah Kuas Makeup /Korean Style Brush Box /Berputar 360° /Eye Shadow Organizer /Kosmetik Mewah,250347734613,Normal Product,,Perlengkapan Rumah,Organizer Rumah,Organizer Meja,69162,1,Komisi XTRA,,67778,,1.50%,1016.67,1.00%,677.78,1694.45,1016.67,677.78,1694.45,,0,0.00%,0,100.00%,1694.45,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakpiringpengering,,,,,Instagram
26060488G0GSPC,Tertunda,234284005266870,2026-06-04 21:53:25,,2026-06-04 19:14:54,KAAMU LIVING,124740166,Preferred(Non-CB),13565871786,KAAMU LIVING - HARUO | Mada Amber 500ml - Botol refill sabun cair dispenser botol sabun mandi sabun cuci tangan aesthetic waterp,104761069061,Normal Product,0_442758791971002_1,Perlengkapan Rumah,Kamar Mandi,"Dispenser, Tempat, & Kotak Sabun",18333,1,Komisi XTRA,,17967,,1.50%,269.505,6.50%,1167.855,1437.36,539.01,2335.71,2874.72,,0,0.00%,0,100.00%,2874.72,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakpiringpengering,,,,,Instagram
26060488G0GSPC,Tertunda,234284005266870,2026-06-04 21:53:25,,2026-06-04 19:14:54,KAAMU LIVING,124740166,Preferred(Non-CB),13565871786,KAAMU LIVING - HARUO | Mada Amber 500ml - Botol refill sabun cair dispenser botol sabun mandi sabun cuci tangan aesthetic waterp,104761069059,Normal Product,0_442758791971002_1,Perlengkapan Rumah,Kamar Mandi,"Dispenser, Tempat, & Kotak Sabun",18333,1,Komisi XTRA,,17967,,1.50%,269.505,6.50%,1167.855,1437.36,0,0,0,,0,0.00%,0,100.00%,0,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakpiringpengering,,,,,Instagram
260604881KUCAP,Tertunda,234283522217687,2026-06-04 21:45:22,,2026-06-04 18:39:29,ELBOX,25447469,Preferred(Non-CB),26734253041,Elbox Piyama Premium murah anak salur/stripe usia 1 - 10 tahun | Baju tidur anak motif salur | setelan piyama salur anak,108683610504,Normal Product,,Fashion Bayi & Anak,Pakaian Anak Laki-Laki,Pakaian Tidur,31500,1,Komisi XTRA,,31500,,1.50%,472.5,4.00%,1260,1732.5,472.5,1260,1732.5,,0,0.00%,0,100.00%,1732.5,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakpiringpengering,,,,,Others
26060487W8MCG4,Tertunda,234283376239105,2026-06-04 21:42:56,,2026-06-04 17:08:08,Akna Official Store,1051394746,Shopee Mall(Non-CB),29101713995,Akna Kulit Jok Motor Fortunate Jaitan Tengah X Carbon Catur 3D Vario/mio/nmax/scoopy/pcx/stylo/filano/vespa/aerox/supra,243352010610,Normal Product,,Sepeda Motor,Aksesoris Sepeda Motor,Jok & Sarung Jok Motor,109000,1,Komisi XTRA,,106820,,1.50%,1602.3,2.50%,2670.5,4272.8,1602.3,2670.5,4272.8,,0,0.00%,0,100.00%,4272.8,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakpiringpengering,,,,,Instagram
26060486FNH9CR,Tertunda,234281846261272,2026-06-04 21:17:26,,2026-06-04 05:50:06,Endang prodaktion,321168807,C2C(Non-CB),15595861284,"kemasan kebab,kantong kebab isi (100pcs)",223069400711,Normal Product,,Perlengkapan Rumah,Perlengkapan Pesta,Peralatan Makan Sekali Pakai,16990,1,Komisi XTRA,,13592,,0.00%,0,1.00%,135.92,135.92,0,135.92,135.92,,0,0.00%,0,100.00%,135.92,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakpiringpengering,,,,,Facebook
26060486E2YFSK,Tertunda,234281793240239,2026-06-04 21:16:37,,2026-06-04 05:39:15,Bingo! Smart Shopping,464382070,Preferred(Non-CB),23956822592,La Fonte Saus Pasta Bolognese 315g / Chicken Bolognese 290g / Carbonara 315g,194629629200,Normal Product,,Makanan & Minuman,Bahan Pokok,Pasta,20250,1,Komisi XTRA,,13754,,1.50%,206.31,0.50%,68.77,275.08,206.31,68.77,275.08,,0,0.00%,0,100.00%,275.08,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakpiringpengering,,,,,Facebook
260604869WEHUS,Tertunda,234281653238473,2026-06-04 21:14:13,,2026-06-04 10:39:50,Qutby Official Store,170439555,Preferred(Non-CB),25540106627,QUTBY - Rok Aline Jeans Jumbo Wanita,198119185225,Normal Product,,Fashion Muslim,Pakaian Muslim Wanita,Bawahan,157100,1,Komisi XTRA,,120120,,1.50%,1801.8,2.50%,3003,4804.8,1801.8,3003,4804.8,,0,0.00%,0,100.00%,4804.8,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakpiringpengering,,,,,Facebook
